id_ordem_servico,id_registro_servico,fk_ordem_servico,preco_cobrado,parte_veiculo,lado_veiculo,tipo_servico,cor,especificacao_servico,tipo_pintura,ano,mes,dia,semana
134,251,134,680.0,CAIXA_DE_RODA,TRASEIRO_ESQUERDO,FUNILARIA,Azul,Reparo em caixa de roda traseira,NAO_APLICAVEL,2025,9,13,36
135,252,135,980.0,PARACHOQUE,DIANTEIRO,PINTURA,Vermelho,Pintura completa do parachoque,COMPLETA,2025,9,21,38
136,253,136,780.0,PARACHOQUE,DIANTEIRO,FUNILARIA,Branco,Recuperacao de parachoque frontal,NAO_APLICAVEL,2025,10,12,41
137,254,137,920.0,PORTA,TRASEIRO_DIREITO,PINTURA,Prata,Pintura parcial porta traseira,PARCIAL,2025,10,14,41
138,255,138,540.0,PAINEL,COMPLETO,MECANICA,,Revisao eletrica e ajuste de painel,NAO_APLICAVEL,2025,10,17,41
139,256,139,320.0,SAIA,DIREITO,OUTROS,Preto,Selante e reforco na saia lateral,NAO_APLICAVEL,2025,10,25,42
140,257,140,680.0,CAIXA_DE_RODA,TRASEIRO_ESQUERDO,FUNILARIA,Azul,Reparo em caixa de roda traseira,NAO_APLICAVEL,2025,11,5,44
141,258,141,980.0,PARACHOQUE,DIANTEIRO,PINTURA,Vermelho,Pintura completa do parachoque,COMPLETA,2025,11,13,45
142,259,142,780.0,PARACHOQUE,DIANTEIRO,FUNILARIA,Branco,Recuperacao de parachoque frontal,NAO_APLICAVEL,2025,11,20,46
143,260,143,920.0,PORTA,TRASEIRO_DIREITO,PINTURA,Prata,Pintura parcial porta traseira,PARCIAL,2025,11,26,47
144,261,144,540.0,PAINEL,COMPLETO,MECANICA,,Revisao eletrica e ajuste de painel,NAO_APLICAVEL,2025,12,5,48
145,262,145,320.0,SAIA,DIREITO,OUTROS,Preto,Selante e reforco na saia lateral,NAO_APLICAVEL,2025,12,13,49
146,263,146,680.0,CAIXA_DE_RODA,TRASEIRO_ESQUERDO,FUNILARIA,Azul,Reparo em caixa de roda traseira,NAO_APLICAVEL,2025,12,23,51
147,264,147,980.0,PARACHOQUE,DIANTEIRO,PINTURA,Vermelho,Pintura completa do parachoque,COMPLETA,2025,12,29,52
6,93,6,840.0,CURVAO,DIANTEIRO_ESQUERDO,PINTURA,Azul,Pintura parcial na coluna frontal esquerda,PARCIAL,2026,3,21,11
6,94,6,560.0,PAINEL,COMPLETO,MECANICA,,Revisão e ajuste de painel elétrico interno,NAO_APLICAVEL,2026,3,21,11
7,95,7,470.0,GRADE,DIANTEIRO,FUNILARIA,Cinza,Troca e ajuste de grade dianteira,NAO_APLICAVEL,2026,3,22,12
16,108,16,720.0,CAIXA_DE_RODA,TRASEIRO_ESQUERDO,FUNILARIA,Cinza,Recuperacao de caixa de roda,NAO_APLICAVEL,2026,4,4,13
15,107,15,390.0,GRADE,DIANTEIRO,FUNILARIA,Preto,Troca e fixacao de grade,NAO_APLICAVEL,2026,4,5,14
14,106,14,450.0,PAINEL,COMPLETO,MECANICA,,Ajuste de painel eletrico,NAO_APLICAVEL,2026,4,6,14
20,113,20,620.0,PORTA,TRASEIRO_ESQUERDO,PINTURA,Azul,Pintura parcial apos reparo,PARCIAL,2026,4,7,14
20,114,20,380.0,PAINEL,COMPLETO,MECANICA,,Ajuste eletrico e sensores,NAO_APLICAVEL,2026,4,7,14
21,115,21,980.0,PARACHOQUE,TRASEIRO_DIREITO,FUNILARIA,Preto,Recuperacao e alinhamento,NAO_APLICAVEL,2026,4,8,14
26,120,26,420.0,PAINEL,COMPLETO,MECANICA,,Revisao eletrica e troca de fusiveis,NAO_APLICAVEL,2026,4,9,14
27,121,27,690.0,PORTA,TRASEIRO_DIREITO,PINTURA,Vermelho,Pintura parcial porta traseira,PARCIAL,2026,4,10,14
31,126,31,870.0,PARACHOQUE,DIANTEIRO,PINTURA,Branco,Pintura completa do parachoque,COMPLETA,2026,4,12,15
32,127,32,620.0,PORTA,DIREITO,PINTURA,Azul,Pintura parcial apos reparo,PARCIAL,2026,4,13,15
35,130,35,980.0,PARACHOQUE,DIANTEIRO,PINTURA,Cinza,Pintura completa frontal,COMPLETA,2026,4,14,15
38,135,38,730.0,CAIXA_DE_RODA,DIANTEIRO_ESQUERDO,PINTURA,Prata,Pintura parcial caixa de roda,PARCIAL,2026,4,15,15
40,136,40,990.0,PARACHOQUE,DIANTEIRO,FUNILARIA,Vermelho,Reparo e alinhamento frontal,NAO_APLICAVEL,2026,4,16,15
40,137,40,940.0,PARACHOQUE,DIANTEIRO,PINTURA,Vermelho,Pintura completa frontal,COMPLETA,2026,4,16,15
